School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
014648,CATTARAUGUSALLEGANY BOCES,1825 WINDFALL RD,OLEAN,NY,14760,,,
012435,UNIVERSITY OF ARKANSAS RICH MOUNTAIN,1100 COLLEGE DRIVE,MEN/A,AR,71953,,,
001154,SAN FRANCISCO STATE UNIVERSITY,1600 HOLLOWAY AVE,SAN FRANCISCO,CA,94132,,,
002106,UNIVERSITY MARYLAND EASTERN SHORE,1 COLLEGE BACKBONE ROAD,PRINCESS ANNE,MD,21853,,,
002557,MID-PLAINS COMM. COLLEGE-ALL CAMPUSES,NORTH PLATTE COMM COLL/DIV OF MPCC,NORTH PLATTE,NE,69101,,,
004007,MADISON AREA TECHNICAL COLLEGE,1701 WRIGHT STREET,MADISON,WI,53704,,,
E40496,TRIANGLE TECH - CHAMBERSBURG,1669 OPPORTUNITY AVENUE,CHAMBERSBURG,PA,17201,,,
014177,EMPIRE BEAUTY SCHOOLS,1328 HOOKSETT ROAD,HOOKSET,NH,3106,,,
G10143,UNIVERSITY OF READING,WHITEKNIGHTS,READING,FC,0,BERKSHIRE,ENGLAND,RG6 6UA
014730,PAUL MITCHELL THE SCHOOL NORTH HAVEN,97 WASHINGTON AVENUE,NORTH HAVEN,CT,6473,,,
E01051,AMERICAN INTERCONTINENTAL UNIVERSITY SYS,9999 RICHMOND ROAD,HOUSTON,TX,77042,,,
014498,BROOME-TIOGA BOCES PN PROG,435 GLENWOOD RD,BINGHAMTON,NY,13905,,,
E01743,AMERICAN INTERCONTINENTAL UNIVERSITY,6600 PEACHTREE-DUNWOODY,ATLANTA,GA,30328,,,
014740,ROBERTO-VENN SCH OF LUTHIERY,1012 NW GRAND AVENUE,PHOENIX,AZ,85007,,,
014734,JOHNSON COLLEGE,3427 NORTH MAIN AVENUE,SCRANTON,PA,18508,,,
002453,CENTRAL METHODIST UNIVERSITY,411 CENTRAL METHODIST SQUARE,FAYETTE,MO,65248,,,
002655,NEW MEXICO JUNIOR COLLEGE,5317 LOVINGTON HIGHWAY,HOBBS,NM,88240,,,
002853,SUNY MARITIME COLLEGE,6 PENNYFIELD AVENUE,BRONX,NY,10465,,,
003285,LANCASTER BIBLE COLLEGE,901 EDEN ROAD,LANCASTER,PA,17601,,,
003684,CHAMPLAIN COLLEGE,163 SOUTH WILLARD STREET,BURLINGTON,VT,5401,,,
006438,PHILLIPS SCHOOL OF NURSING AT MOUNT SINA,776 6TH AVENUE  4TH FLOOR,NEW YORK,NY,10001,,,
014257,BRIDGERLAND TECHNICAL COLLEGE,1301 NORTH 600 WEST,LOGAN,UT,84321,,,
014829,PUEBLO COMMUNITY COLLEGE,900 WEST ORMAN AVENUE,PUEBLO,CO,81004,,,
014058,UPPER VALLEY JVS,8901 LOONEY ROAD,PIQUA,OH,45356,,,
014694,GREAT OAKS CAREER CAMPUSES,303 SCARLET OAKS DRIVE,SHARONVILLE,OH,45241,,,
013949,BECK AREA CAREER CENTER,6137 BECK ROAD,RED BUD,IL,62278,,,
014724,AVEDA ARTS & SCIENCES INST LAFAYETTE,2922 JOHNSTON STREET,LAFAYETTE,LA,70503,,,
001094,UNIVERSITY OF THE OZARKS,415 COLLEGE AVENUE,CLARKSVILLE,AR,72830,,,
001155,SAN JOSE STATE UNIVERSITY,ONE WASHINGTON SQUARE,SAN JOSE,CA,95192,,,
001531,STETSON UNIVERSITY,421 NORTH WOODLAND BOULEVARD,DELAND,FL,32723,,,
001804,UNIVERSITY OF INDIANAPOLIS,1400 E HANN/A AVE,INDIAN/APOLIS,IN,46227,,,
002187,MASSACHUSETTS CLG OF LIBERAL ARTS,375 CHURCH STREET,NORTH ADAMS,MA,1247,,,
002656,NEW MEXICO MILITARY INSTITUTE,101 WEST COLLEGE BOULEVARD,ROSWELL,NM,88201,,,
003210,OREGON STATE UNIVERSITY,1500 S.W. JEFFERSON,CORVALLIS,OR,97331,,,
003287,LASALLE UNIVERSITY,1900 WEST OLNEY AVE,PHILADELPHIA,PA,19141,,,
003911,VITERBO UNIVERSITY,900 VITERBO DRIVE,LA CROSSE,WI,54601,,,
014458,MISSION COLLEGE,3000 MISSION COLLEGE BOULEVARD,SANTA CLARA,CA,95054,,,
G21206,SAYBROOK UNIVERSITY,55 EUREKA STREET,PASADEN/A,CA,91103,,,
001156,SONOMA STATE UNIVERSITY,1801 EAST COTATI AVENUE,ROHNERT PARK,CA,94928,,,
001471,COLLEGE OF CENTRAL FLORIDA,3001 SW COLLEGE ROAD,OCALA,FL,34474,,,
001805,INDIANA INSTITUTE OF TECHNOLOGY,1600 E WASHINGTON BLVD,FORT WAYNE,IN,46803,,,
002002,WESTERN KENTUCKY UNIVERSITY,1 BIG RED WAY,BOWLING GREEN,KY,42101,,,
002373,ROCHESTER COMMUNITYTECH COLLEGE,851 30TH AVE. SE,ROCHESTER,MN,55904,,,
002559,PERU STATE COLLEGE,600 HOYT STREET,PERU,NE,68421,,,
003014,BALDWIN WALLACE UNIVERSITY,275 EASTLAND ROAD,BEREA,OH,44017,,,
010487,WEST GEORGIA TECHNICAL COLLEGE,176 MURPHY CAMPUS,WACO,GA,30182,,,
014741,SAN JOAQUIN VALLEY COLLEGE,8344  WEST MINERAL KING AVENUE,VISALIA,CA,93291,,,
014528,MIDWEST INSTITUTE,4260 SHORELINE DRIVE,EARTH CITY,MO,63045,,,
014731,NEW ENGLAND HAIR ACADEMY,492-500 MAIN STREET,MALDEN,MA,2148,,,
014847,AVEDA ARTS & SCIENCES INSTITUTE MINNEAPO,400 CENTRAL AVENUE SOUTH EAST,MINNEAPOLIS,MN,55414,,,
001436,CAPITOL COLLEGE,11301 SPRINGFIELD ROAD,LAUREL,MD,20708,,,
E00342,STETSON UNIVERSITY - COLLEGE OF LAW,1401 61ST STREET SOUTH,SAINT PETERSBURG,FL,33707,,,
002657,NEW MEXICO STATE UNIVERSITY,BOX 30001 DEPT 5100,LAS CRUCES,NM,88003,,,
003016,BLUFFTON UNIVERSITY,1 UNIVERSITY DRIVE,BLUFFTON,OH,45817,,,
003127,UNIVERSITY OF DAYTON,300 COLLEGE PARK DRIVE,DAYTON,OH,45469,,,
003288,LEBANON VALLEY COLLEGE,101 N. COLLEGE AVE,ANNVILLE,PA,17003,,,
006443,COCHRAN SCH NSG-ST JOHN RVSDE HOSP,967 NORTH BROADWAY,YONKERS,NY,10701,,,
006487,AULTMAN COLLEGE OF NURSING AND HEALTH SC,2600 SIXTH ST SW,CANTON,OH,44710,,,
007871,GEORGE C WALLACE STATE CMTY CLG,PO BOX 2000,HANCEVILLE,AL,35077,,,
001597,TRUETT MCCONNELL UNIVERSITY,100 ALUMNI DRIVE,CLEVELAND,GA,30528,,,
002004,DILLARD UNIVERSITY,2601 GENTILLY BOULEVARD,NEW ORLEANS,LA,70122,,,
002188,SALEM STATE UNIVERSITY,352 LAFAYETTE STREET,SALEM,MA,1970,,,
003018,BOWLING GREEN STATE UNIVERSITY,1001 EAST WOOSTER STREET,BOWLING GREEN,OH,43403,,,
G04012,HEBREW UNIVERSITY OF JERUSALEM (THE),MOUNT SCOPUS,JERUSALEM,FC,0,,ISRAEL,91905
010489,AMERICAN NATIONAL UNIVERSITY,10509 TIMBERWOOD CIRCLE,LOUISVILLE,KY,40223,,,
014839,UNIVERSITY OF SPA & COSMETOLOGY ART,2913 WEST WHITE OAKS DRIVE,SPRINGFIELD,IL,62704,,,
013568,FRANKLIN TECHNOLOGY CENTER,FRANKLIN TECHNOLOGY CENTER,JOPLIN,MO,64801,,,
